Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
023530,KR7023530009,롯데쇼핑,KOSPI,,57100,1,100,0.18,56600,57600,56500,53858,3075269100,1615287910500,28288755,STK
039030,KR7039030002,이오테크닉스,KOSDAQ GLOBAL,우량기업부,130500,2,-6200,-4.54,135600,136700,129800,143575,18919820600,1607701275000,12319550,KSQ
006360,KR7006360002,GS건설,KOSPI,,18560,1,370,2.03,18160,18620,18140,253149,4681403800,1588392454400,85581490,STK
003690,KR7003690005,코리안리,KOSPI,,8110,2,-60,-0.73,8180,8250,8020,320358,2607150520,1579998561410,194821031,STK
008770,KR7008770000,호텔신라,KOSPI,,39450,2,-450,-1.13,39750,39800,39050,70340,2767027500,1548338373450,39248121,STK
018290,KR7018290007,브이티,KOSDAQ,우량기업부,42700,1,500,1.18,41700,42850,41000,1340371,56383053600,1528574898900,35798007,KSQ
000990,KR7000990002,DB하이텍,KOSPI,,34150,1,600,1.79,33150,34300,33000,317037,10747811150,1516211780200,44398588,STK
000080,KR7000080002,하이트진로,KOSPI,,21300,1,200,0.95,21000,21350,20950,200895,4264148600,1493845914300,70133611,STK
140860,KR7140860008,파크시스템스,KOSDAQ,우량기업부,213000,1,9500,4.67,206500,215000,202500,44241,9373969000,1487927901000,6985577,KSQ
139130,KR7139130009,DGB금융지주,KOSPI,,8790,2,-110,-1.24,8910,8940,8780,455319,4021877780,1486791872070,169145833,STK
005850,KR7005850003,에스엘,KOSPI,,31650,1,600,1.93,31150,31800,30750,50315,1590796050,1470095658000,46448520,STK
310210,KR7310210000,보로노이,KOSDAQ,기술성장기업부,79500,1,2000,2.58,77700,81900,75200,219440,17390307800,1459349064000,18356592,KSQ
298380,KR7298380007,에이비엘바이오,KOSDAQ,기술성장기업부,30100,1,600,2.03,29800,30700,28900,473162,14180980750,1453286454200,48281942,KSQ
069620,KR7069620003,대웅제약,KOSPI,,125300,1,1200,0.97,124000,126400,122600,23254,2901778500,1451797847500,11586575,STK
253450,KR7253450001,스튜디오드래곤,KOSDAQ GLOBAL,우량기업부,47850,1,600,1.27,47250,49400,47250,155396,7544477400,1438299129300,30058498,KSQ
103140,KR7103140000,풍산,KOSPI,,51300,1,400,0.79,50800,51800,50100,139313,7131662000,1437645461400,28024278,STK
036930,KR7036930006,주성엔지니어링,KOSDAQ GLOBAL,우량기업부,30200,1,550,1.85,29800,30600,29600,2066143,62359574050,1427503294200,47268321,KSQ
047040,KR7047040001,대우건설,KOSPI,,3415,2,-50,-1.44,3435,3455,3390,636981,2172818535,1419351308770,415622638,STK
137310,KR7137310009,에스디바이오센서,KOSPI,,11310,1,160,1.43,11110,11350,11000,179846,2009788240,1407838862430,124477353,STK
112040,KR7112040001,위메이드,KOSDAQ,중견기업부,40900,2,-700,-1.68,41650,42500,40600,256033,10602209600,1388492954700,33948483,KSQ
082740,KR7082740002,한화엔진,KOSPI,,16620,1,680,4.27,15940,16710,15630,797987,13076251730,1386891500040,83447142,STK
357780,KR7357780006,솔브레인,KOSDAQ,우량기업부,177900,1,500,0.28,179100,181100,176900,20431,3660921600,1383806891400,7778566,KSQ
035760,KR7035760008,CJ ENM,KOSDAQ GLOBAL,중견기업부,63100,1,4500,7.68,59300,63100,59200,101369,6278536900,1383729617400,21929154,KSQ
042670,KR7042670000,HD현대인프라코어,KOSPI,,7180,1,40,0.56,7190,7260,7100,768817,5500665480,1383269125060,192655867,STK
